N,precission,numberOfIterations,distance
355,1.0E-5,81,6.435811317033908E-7
355,1.0000000000000001E-7,94,6.296067191149231E-9
355,1.0E-9,114,6.146746104359722E-11
365,0.001,51,8.517958189923066E-5
365,1.0E-5,79,6.600516609456809E-7
365,1.0000000000000001E-7,106,6.7605264829344175E-9
365,1.0E-9,129,5.885951781714686E-11
375,0.001,51,8.948127143657415E-5
375,1.0E-5,76,6.750114901112299E-7
375,1.0000000000000001E-7,101,6.146479619497101E-9
375,1.0E-9,126,6.455649164974164E-11
385,0.001,55,7.144511361400863E-5
385,1.0E-5,81,6.637773216304942E-7
385,1.0000000000000001E-7,108,5.744176535476976E-9
385,1.0E-9,119,5.873597140309344E-11
395,0.001,56,6.736371097070571E-5
395,1.0E-5,75,6.329266810597302E-7
395,1.0000000000000001E-7,106,6.312909531032636E-9
395,1.0E-9,127,6.301575114580903E-11
405,0.001,54,7.380697793394195E-5
405,1.0E-5,71,8.217523959794237E-7
405,1.0000000000000001E-7,107,6.396339735655113E-9
405,1.0E-9,130,6.07588693464139E-11
415,0.001,51,9.085073930812974E-5
415,1.0E-5,80,6.146321604097044E-7
415,1.0000000000000001E-7,108,6.143526479772067E-9
415,1.0E-9,131,6.537563103007498E-11
425,0.001,52,8.364663660803768E-5
425,1.0E-5,81,6.007817486262302E-7
425,1.0000000000000001E-7,97,6.219814659069933E-9
425,1.0E-9,130,6.215386832657243E-11
435,0.001,58,5.998145255544399E-5
435,1.0E-5,71,8.014443023945292E-7
435,1.0000000000000001E-7,92,7.043809461328845E-9
435,1.0E-9,133,6.685297986386941E-11
445,0.001,52,7.570264267639534E-5
445,1.0E-5,71,8.13318241270854E-7
445,1.0000000000000001E-7,106,5.731561704187383E-9
445,1.0E-9,131,6.651712640477609E-11
455,0.001,55,6.248754589353471E-5
455,1.0E-5,80,6.749127802140223E-7
455,1.0000000000000001E-7,100,6.481480780541286E-9
455,1.0E-9,125,5.840239081671238E-11
465,0.001,56,6.48392023729736E-5
465,1.0E-5,78,6.862554074212622E-7
465,1.0000000000000001E-7,102,5.730755396333021E-9
465,1.0E-9,131,6.008471634027275E-11
475,0.001,56,6.503249594985057E-5
475,1.0E-5,71,8.147363158813874E-7
475,1.0000000000000001E-7,93,6.979762471524631E-9
475,1.0E-9,127,5.7213636732199683E-11
485,0.001,53,7.245336268401998E-5
485,1.0E-5,73,6.641192803243388E-7
485,1.0000000000000001E-7,99,6.69340822832633E-9
485,1.0E-9,128,6.416972428968225E-11
495,0.001,53,7.169062068253289E-5
495,1.0E-5,80,5.942901120104436E-7
495,1.0000000000000001E-7,98,6.467413724653571E-9
495,1.0E-9,130,5.771984856862177E-11
505,0.001,58,6.265898668005834E-5
505,1.0E-5,82,5.80776565468653E-7
505,1.0000000000000001E-7,103,6.638228391506109E-9
505,1.0E-9,131,5.85126835660653E-11
515,0.001,52,8.100677739575652E-5
515,1.0E-5,80,6.043564387857364E-7
515,1.0000000000000001E-7,94,6.739146566235834E-9
515,1.0E-9,127,6.75538310241343E-11
525,0.001,54,6.98808295647842E-5
525,1.0E-5,75,7.141377949199279E-7
525,1.0000000000000001E-7,101,6.802323427344133E-9
525,1.0E-9,122,6.758694525064869E-11
535,0.001,55,6.804723589719951E-5
535,1.0E-5,82,6.68609672890593E-7
535,1.0000000000000001E-7,93,6.840595350632761E-9
535,1.0E-9,134,5.937957077566814E-11
545,0.001,52,8.190111691573512E-5
545,1.0E-5,71,9.01065533832982E-7
545,1.0000000000000001E-7,107,6.069701753383644E-9
545,1.0E-9,128,5.703861379833089E-11
555,0.001,53,7.715954321564386E-5
555,1.0E-5,80,6.609226976300786E-7
555,1.0000000000000001E-7,101,6.793960289670364E-9
555,1.0E-9,119,5.965274020565423E-11
565,0.001,53,8.074337754423498E-5
565,1.0E-5,71,8.602309646619316E-7
565,1.0000000000000001E-7,105,6.336328166946404E-9
565,1.0E-9,131,5.686086345173337E-11
575,0.001,56,6.435673582445851E-5
575,1.0E-5,71,8.610972355113081E-7
575,1.0000000000000001E-7,105,6.522440147096343E-9
575,1.0E-9,131,6.578715246788182E-11
585,0.001,54,6.767384265148494E-5
585,1.0E-5,73,6.83953303820095E-7
585,1.0000000000000001E-7,105,6.085942893505603E-9
585,1.0E-9,132,6.439352474180191E-11
595,0.001,57,6.3525681751614E-5
595,1.0E-5,81,5.922846188651251E-7
595,1.0000000000000001E-7,99,5.995565341357122E-9
595,1.0E-9,133,6.349149241733579E-11
605,0.001,52,8.897278814403974E-5
605,1.0E-5,77,6.825041140219177E-7
605,1.0000000000000001E-7,103,6.414353304494E-9
605,1.0E-9,131,6.58133244843555E-11
615,0.001,56,6.623108922843653E-5
615,1.0E-5,79,6.050678463389121E-7
615,1.0000000000000001E-7,107,6.398247284291091E-9
615,1.0E-9,123,5.715892054906856E-11
625,0.001,52,8.927553326771756E-5
625,1.0E-5,71,8.950015213502257E-7
625,1.0000000000000001E-7,90,9.102314996045232E-9
625,1.0E-9,127,5.900649088996899E-11
635,0.001,53,8.004054241933575E-5
635,1.0E-5,71,9.313429229270438E-7
635,1.0000000000000001E-7,92,7.533126226410415E-9
635,1.0E-9,131,6.455102135996818E-11
645,0.001,53,8.136292484108043E-5
645,1.0E-5,71,9.101247944419174E-7
645,1.0000000000000001E-7,95,7.065504895594612E-9
645,1.0E-9,131,5.846318844982375E-11
655,0.001,57,6.729436233520327E-5
655,1.0E-5,77,6.382900576884089E-7
655,1.0000000000000001E-7,101,5.9012236783246316E-9
655,1.0E-9,113,6.848893258143195E-11
665,0.001,54,7.502412281144707E-5
665,1.0E-5,78,5.831346512606149E-7
665,1.0000000000000001E-7,93,6.679444137594865E-9
665,1.0E-9,130,5.885909337785794E-11
675,0.001,53,7.645127722274503E-5
675,1.0E-5,76,6.166469482102255E-7
