N,precission,numberOfIterations,distance
345,1.0E-9,118,4.4057026551369364E-10
355,0.001,46,4.773278932920494E-4
355,1.0E-5,64,4.946005762907503E-6
355,1.0000000000000001E-7,82,5.531712725542966E-8
355,1.0E-9,115,4.2067550661665365E-10
365,0.001,44,5.206771700885059E-4
365,1.0E-5,66,4.314829830766963E-6
365,1.0000000000000001E-7,84,4.655706933260249E-8
365,1.0E-9,109,3.9790650631241207E-10
375,0.001,44,4.99306208639014E-4
375,1.0E-5,69,4.334320491980789E-6
375,1.0000000000000001E-7,84,4.876756320593696E-8
375,1.0E-9,121,4.37225667702342E-10
385,0.001,43,6.158684228957854E-4
385,1.0E-5,69,4.575001890704359E-6
385,1.0000000000000001E-7,96,4.026939433805863E-8
385,1.0E-9,122,4.4580281391593336E-10
395,0.001,46,4.42917634040959E-4
395,1.0E-5,68,4.641321278316229E-6
395,1.0000000000000001E-7,94,4.3698632161857086E-8
395,1.0E-9,116,4.014425322829401E-10
405,0.001,45,4.706782367445029E-4
405,1.0E-5,64,5.065750204645716E-6
405,1.0000000000000001E-7,90,4.535277930089591E-8
405,1.0E-9,108,4.510361209337976E-10
415,0.001,44,5.189715535319524E-4
415,1.0E-5,68,4.574180147037508E-6
415,1.0000000000000001E-7,82,5.6623480336512046E-8
415,1.0E-9,106,4.212561468989127E-10
425,0.001,44,4.996696527532686E-4
425,1.0E-5,66,4.3398364659394595E-6
425,1.0000000000000001E-7,91,4.358219564257199E-8
425,1.0E-9,110,3.817504466566081E-10
435,0.001,45,4.943362890809365E-4
435,1.0E-5,63,5.2628053271461456E-6
435,1.0000000000000001E-7,91,4.423431953638192E-8
435,1.0E-9,114,4.526212918140908E-10
445,0.001,44,5.231248065700656E-4
445,1.0E-5,63,5.4569093874927085E-6
445,1.0000000000000001E-7,90,4.4303329653483654E-8
445,1.0E-9,116,4.1854157249382697E-10
455,0.001,45,5.073215294297341E-4
455,1.0E-5,71,3.844949629084401E-6
455,1.0000000000000001E-7,93,3.834331183633033E-8
455,1.0E-9,113,4.12076183547271E-10
465,0.001,44,5.2260205424501E-4
465,1.0E-5,66,4.654809922916711E-6
465,1.0000000000000001E-7,88,3.981041199602629E-8
465,1.0E-9,119,4.422524489763188E-10
475,0.001,44,5.278810923482576E-4
475,1.0E-5,69,3.999927820305399E-6
475,1.0000000000000001E-7,91,4.296751420777451E-8
475,1.0E-9,105,4.5639984357688903E-10
485,0.001,44,5.327734437576228E-4
485,1.0E-5,63,5.409282287658816E-6
485,1.0000000000000001E-7,84,4.631997519968367E-8
485,1.0E-9,119,4.191995251539615E-10
495,0.001,44,5.43764562326747E-4
495,1.0E-5,68,3.997876163496022E-6
495,1.0000000000000001E-7,98,3.9117484303181065E-8
495,1.0E-9,113,3.8357564760605084E-10
505,0.001,44,5.760536052538915E-4
505,1.0E-5,63,5.713775795380943E-6
505,1.0000000000000001E-7,97,4.3686826004679245E-8
505,1.0E-9,119,4.1110876467978036E-10
515,0.001,44,5.685123375248834E-4
515,1.0E-5,63,5.711973024881927E-6
515,1.0000000000000001E-7,91,4.3851387691183604E-8
515,1.0E-9,119,4.5128293184575013E-10
525,0.001,47,4.2993310371256525E-4
525,1.0E-5,69,4.3309986816127075E-6
525,1.0000000000000001E-7,97,4.311473006783105E-8
525,1.0E-9,119,4.052426323113934E-10
535,0.001,44,5.596891422313757E-4
535,1.0E-5,70,4.479686020424959E-6
535,1.0000000000000001E-7,92,3.820609354282374E-8
535,1.0E-9,123,3.8723198931272447E-10
545,0.001,46,4.814583978014189E-4
545,1.0E-5,63,5.92735125027864E-6
545,1.0000000000000001E-7,97,3.9402969585288125E-8
545,1.0E-9,114,3.8142006011345415E-10
555,0.001,45,5.103436539540394E-4
555,1.0E-5,71,4.0419546523867195E-6
555,1.0000000000000001E-7,90,3.8894649669771645E-8
555,1.0E-9,114,4.0534531215244187E-10
565,0.001,45,4.72918564321534E-4
565,1.0E-5,69,4.4900938346186185E-6
565,1.0000000000000001E-7,93,4.327448752203719E-8
565,1.0E-9,120,4.0499509100811065E-10
575,0.001,47,4.658977075055106E-4
575,1.0E-5,64,5.104553107086627E-6
575,1.0000000000000001E-7,95,4.5453871057673474E-8
575,1.0E-9,111,4.3661192393423155E-10
585,0.001,44,5.973108297433308E-4
585,1.0E-5,69,3.930936705571621E-6
585,1.0000000000000001E-7,90,4.380928225184423E-8
585,1.0E-9,118,3.94851787366723E-10
595,0.001,44,5.889871120511594E-4
595,1.0E-5,72,3.880777559727635E-6
595,1.0000000000000001E-7,99,3.8446402057061944E-8
595,1.0E-9,119,3.9069329625228136E-10
605,0.001,44,6.114964938582396E-4
605,1.0E-5,64,5.455442521962549E-6
605,1.0000000000000001E-7,94,3.89016571717492E-8
605,1.0E-9,103,5.024559214614549E-10
615,0.001,46,4.5026904561515374E-4
615,1.0E-5,70,4.589524544879445E-6
615,1.0000000000000001E-7,85,4.8803892663952404E-8
615,1.0E-9,121,4.01171341595816E-10
625,0.001,44,6.039227092399478E-4
625,1.0E-5,70,3.969396192761987E-6
625,1.0000000000000001E-7,83,5.571755108969704E-8
625,1.0E-9,118,4.255457366424747E-10
635,0.001,45,4.991366252578719E-4
635,1.0E-5,69,4.437751274633532E-6
635,1.0000000000000001E-7,90,4.318305211119516E-8
635,1.0E-9,111,4.1761592170738327E-10
645,0.001,44,6.265466335264623E-4
645,1.0E-5,68,4.112199115237091E-6
645,1.0000000000000001E-7,97,3.950123549098571E-8
645,1.0E-9,104,4.5948602043600084E-10
655,0.001,45,4.989844187687015E-4
655,1.0E-5,70,4.602932780622415E-6
655,1.0000000000000001E-7,97,3.814208678379118E-8
655,1.0E-9,116,3.89885391657911E-10
665,0.001,45,4.8566861411154414E-4
665,1.0E-5,70,4.1659264496494014E-6
665,1.0000000000000001E-7,96,4.424420725223512E-8
665,1.0E-9,117,4.2662603307881644E-10
675,0.001,46,4.635633350117643E-4
675,1.0E-5,70,4.289902518314358E-6
675,1.0000000000000001E-7,84,5.166827151470012E-8
675,1.0E-9,120,4.0558705132922887E-10
685,0.001,45,5.656012351986098E-4
685,1.0E-5,68,4.605568662560144E-6
685,1.0000000000000001E-7,91,3.8496228329035946E-8
685,1.0E-9,121,4.3687928299444985E-10
695,0.001,46,4.706885937969453E-4
695,1.0E-5,72,4.262196400297411E-6
695,1.0000000000000001E-7,94,3.940352518665831E-8
695,1.0E-9,120,4.262414144559479E-10
705,0.001,45,5.057311659413012E-4
705,1.0E-5,71,4.39720015561253E-6
705,1.0000000000000001E-7,89,4.14803386378259E-8
705,1.0E-9,112,3.8936737409387033E-10
715,0.001,46,5.240707544714294E-4
715,1.0E-5,68,4.588302679202672E-6
715,1.0000000000000001E-7,94,4.2629254871282474E-8
715,1.0E-9,119,4.4597675563754487E-10
725,0.001,46,5.056411176696475E-4
725,1.0E-5,64,5.256381536210629E-6
725,1.0000000000000001E-7,91,4.474090751079566E-8
725,1.0E-9,117,3.823972552883073E-10
735,0.001,45,5.38917999219435E-4
735,1.0E-5,68,4.626856552221088E-6
735,1.0000000000000001E-7,84,5.226530003774524E-8
735,1.0E-9,118,4.377370062485532E-10
745,0.001,47,4.4773861470034226E-4
745,1.0E-5,67,4.599441728995606E-6
745,1.0000000000000001E-7,88,4.607518287550478E-8
745,1.0E-9,122,4.5407526435742604E-10
755,0.001,46,4.5953820247742697E-4
755,1.0E-5,71,4.28119277852651E-6
755,1.0000000000000001E-7,92,3.9492178502253465E-8
755,1.0E-9,122,4.2873102156846666E-10
765,0.001,47,4.882202283297257E-4
765,1.0E-5,65,5.28982002914496E-6
765,1.0000000000000001E-7,94,4.252539476741652E-8
765,1.0E-9,110,4.2163895042828505E-10
775,0.001,45,5.624055421193854E-4
775,1.0E-5,65,4.822384774982705E-6
775,1.0000000000000001E-7,83,5.522086980235275E-8
775,1.0E-9,122,3.812668301091335E-10
785,0.001,46,4.925109804164192E-4
785,1.0E-5,64,5.435188662916489E-6
785,1.0000000000000001E-7,94,4.455766117346972E-8
785,1.0E-9,111,3.8571847564482427E-10
795,0.001,45,5.444820071564983E-4
795,1.0E-5,64,5.563368504849145E-6
795,1.0000000000000001E-7,85,4.681164977186019E-8
795,1.0E-9,118,4.356527243743541E-10
805,0.001,47,4.5534248023629313E-4
805,1.0E-5,66,4.3739074615363536E-6
805,1.0000000000000001E-7,88,4.017687932953848E-8
805,1.0E-9,120,3.9552151412631113E-10
815,0.001,46,5.200128964746848E-4
815,1.0E-5,67,4.5471412411840595E-6
815,1.0000000000000001E-7,83,5.6553153585062514E-8
815,1.0E-9,118,3.979591677969275E-10
825,0.001,46,4.628346184837594E-4
