#N,type,distance,time
231,FLOAT,0.0,96
230,FLOAT,0.0,104
218,FLOAT,0.0,93
232,FLOAT,0.0,67
215,FLOAT,0.0,66
233,FLOAT,0.0,86
236,FLOAT,0.0,83
234,FLOAT,0.0,74
237,FLOAT,0.0,94
240,FLOAT,0.0,80
238,FLOAT,0.0,83
241,FLOAT,0.0,126
239,FLOAT,0.0,83
242,FLOAT,0.0,75
243,FLOAT,0.0,74
245,FLOAT,0.0,86
235,FLOAT,0.0,88
247,FLOAT,0.0,80
246,FLOAT,0.0,81
248,FLOAT,0.0,121
249,FLOAT,0.0,118
251,FLOAT,0.0,109
250,FLOAT,0.0,119
252,FLOAT,0.0,104
244,FLOAT,0.0,165
254,FLOAT,0.0,85
256,FLOAT,0.0,99
253,FLOAT,0.0,84
258,FLOAT,0.0,84
259,FLOAT,0.0,89
257,FLOAT,0.0,87
255,FLOAT,0.0,83
261,FLOAT,0.0,87
262,FLOAT,0.0,90
265,FLOAT,0.0,127
264,FLOAT,0.0,126
263,FLOAT,0.0,107
266,FLOAT,0.0,119
267,FLOAT,0.0,118
268,FLOAT,0.0,142
269,FLOAT,0.0,97
270,FLOAT,0.0,135
260,FLOAT,0.0,98
271,FLOAT,0.0,119
272,FLOAT,0.0,141
274,FLOAT,0.0,149
276,FLOAT,0.0,152
277,FLOAT,0.0,113
273,FLOAT,0.0,115
278,FLOAT,0.0,165
279,FLOAT,0.0,139
280,FLOAT,0.0,137
281,FLOAT,0.0,128
282,FLOAT,0.0,188
283,FLOAT,0.0,137
284,FLOAT,0.0,139
285,FLOAT,0.0,128
286,FLOAT,0.0,178
287,FLOAT,0.0,169
288,FLOAT,0.0,205
289,FLOAT,0.0,153
290,FLOAT,0.0,170
291,FLOAT,0.0,178
292,FLOAT,0.0,182
293,FLOAT,0.0,150
275,FLOAT,0.0,123
295,FLOAT,0.0,205
296,FLOAT,0.0,219
297,FLOAT,0.0,188
298,FLOAT,0.0,185
299,FLOAT,0.0,185
300,FLOAT,0.0,219
301,FLOAT,0.0,186
302,FLOAT,0.0,243
303,FLOAT,0.0,204
306,FLOAT,0.0,165
305,FLOAT,0.0,238
304,FLOAT,0.0,238
307,FLOAT,0.0,156
309,FLOAT,0.0,341
310,FLOAT,0.0,250
294,FLOAT,0.0,162
312,FLOAT,0.0,151
313,FLOAT,0.0,315
314,FLOAT,0.0,196
311,FLOAT,0.0,168
315,FLOAT,0.0,170
316,FLOAT,0.0,207
318,FLOAT,0.0,174
319,FLOAT,0.0,143
308,FLOAT,0.0,180
320,FLOAT,0.0,290
317,FLOAT,0.0,220
322,FLOAT,0.0,196
