#N,type,distance,time
191,DOUBLE,0.0,10
192,DOUBLE,0.0,10
178,DOUBLE,0.0,24
187,DOUBLE,0.0,22
193,DOUBLE,0.0,9
190,DOUBLE,0.0,12
195,DOUBLE,0.0,10
186,DOUBLE,0.0,19
198,DOUBLE,0.0,9
199,DOUBLE,0.0,10
194,DOUBLE,0.0,10
200,DOUBLE,0.0,9
201,DOUBLE,0.0,10
203,DOUBLE,0.0,10
204,DOUBLE,0.0,10
205,DOUBLE,0.0,10
206,DOUBLE,0.0,10
202,DOUBLE,0.0,13
208,DOUBLE,0.0,12
207,DOUBLE,0.0,14
196,DOUBLE,0.0,12
197,DOUBLE,0.0,30
210,DOUBLE,0.0,16
209,DOUBLE,0.0,11
211,DOUBLE,0.0,10
212,DOUBLE,0.0,11
213,DOUBLE,0.0,13
214,DOUBLE,0.0,11
215,DOUBLE,0.0,11
216,DOUBLE,0.0,12
217,DOUBLE,0.0,11
218,DOUBLE,0.0,11
219,DOUBLE,0.0,12
221,DOUBLE,0.0,19
224,DOUBLE,0.0,12
225,DOUBLE,0.0,11
223,DOUBLE,0.0,18
227,DOUBLE,0.0,11
222,DOUBLE,0.0,11
228,DOUBLE,0.0,12
230,DOUBLE,0.0,11
231,DOUBLE,0.0,14
232,DOUBLE,0.0,11
233,DOUBLE,0.0,12
234,DOUBLE,0.0,17
235,DOUBLE,0.0,12
236,DOUBLE,0.0,12
237,DOUBLE,0.0,14
238,DOUBLE,0.0,11
220,DOUBLE,0.0,11
241,DOUBLE,0.0,13
242,DOUBLE,0.0,13
226,DOUBLE,0.0,11
243,DOUBLE,0.0,20
244,DOUBLE,0.0,12
246,DOUBLE,0.0,13
245,DOUBLE,0.0,14
247,DOUBLE,0.0,29
248,DOUBLE,0.0,12
239,DOUBLE,0.0,12
249,DOUBLE,0.0,13
251,DOUBLE,0.0,14
240,DOUBLE,0.0,12
253,DOUBLE,0.0,13
229,DOUBLE,0.0,13
254,DOUBLE,0.0,12
255,DOUBLE,0.0,14
257,DOUBLE,0.0,16
258,DOUBLE,0.0,14
259,DOUBLE,0.0,13
260,DOUBLE,0.0,15
256,DOUBLE,0.0,13
261,DOUBLE,0.0,13
252,DOUBLE,0.0,12
262,DOUBLE,0.0,14
250,DOUBLE,0.0,20
267,DOUBLE,0.0,15
268,DOUBLE,0.0,13
265,DOUBLE,0.0,14
269,DOUBLE,0.0,17
263,DOUBLE,0.0,13
266,DOUBLE,0.0,15
272,DOUBLE,0.0,13
274,DOUBLE,0.0,14
264,DOUBLE,0.0,13
276,DOUBLE,0.0,14
271,DOUBLE,0.0,16
270,DOUBLE,0.0,14
279,DOUBLE,0.0,24
278,DOUBLE,0.0,23
281,DOUBLE,0.0,16
282,DOUBLE,0.0,17
283,DOUBLE,0.0,16
275,DOUBLE,0.0,16
273,DOUBLE,0.0,21
280,DOUBLE,0.0,16
277,DOUBLE,0.0,21
287,DOUBLE,0.0,16
288,DOUBLE,0.0,17
289,DOUBLE,0.0,18
285,DOUBLE,0.0,17
286,DOUBLE,0.0,14
292,DOUBLE,0.0,18
293,DOUBLE,0.0,17
294,DOUBLE,0.0,18
296,DOUBLE,0.0,17
297,DOUBLE,0.0,16
290,DOUBLE,0.0,21
298,DOUBLE,0.0,220
299,DOUBLE,0.0,16
300,DOUBLE,0.0,28
295,DOUBLE,0.0,15
302,DOUBLE,0.0,18
303,DOUBLE,0.0,15
304,DOUBLE,0.0,21
301,DOUBLE,0.0,29
306,DOUBLE,0.0,23
307,DOUBLE,0.0,15
308,DOUBLE,0.0,18
284,DOUBLE,0.0,34
310,DOUBLE,0.0,22
311,DOUBLE,0.0,21
291,DOUBLE,0.0,60
305,DOUBLE,0.0,53
309,DOUBLE,0.0,16
314,DOUBLE,0.0,17
313,DOUBLE,0.0,22
316,DOUBLE,0.0,20
318,DOUBLE,0.0,31
312,DOUBLE,0.0,35
315,DOUBLE,0.0,15
320,DOUBLE,0.0,20
322,DOUBLE,0.0,22
323,DOUBLE,0.0,15
319,DOUBLE,0.0,17
321,DOUBLE,0.0,20
324,DOUBLE,0.0,19
328,DOUBLE,0.0,17
317,DOUBLE,0.0,37
325,DOUBLE,0.0,16
326,DOUBLE,0.0,16
332,DOUBLE,0.0,17
333,DOUBLE,0.0,17
334,DOUBLE,0.0,69
330,DOUBLE,0.0,18
329,DOUBLE,0.0,16
337,DOUBLE,0.0,17
327,DOUBLE,0.0,64
331,DOUBLE,0.0,17
336,DOUBLE,0.0,28
340,DOUBLE,0.0,28
339,DOUBLE,0.0,16
343,DOUBLE,0.0,16
335,DOUBLE,0.0,23
338,DOUBLE,0.0,17
344,DOUBLE,0.0,138
341,DOUBLE,0.0,16
348,DOUBLE,0.0,16
345,DOUBLE,0.0,18
342,DOUBLE,0.0,23
350,DOUBLE,0.0,25
351,DOUBLE,0.0,17
352,DOUBLE,0.0,23
347,DOUBLE,0.0,18
353,DOUBLE,0.0,31
346,DOUBLE,0.0,147
357,DOUBLE,0.0,19
349,DOUBLE,0.0,22
354,DOUBLE,0.0,30
356,DOUBLE,0.0,17
358,DOUBLE,0.0,17
355,DOUBLE,0.0,18
360,DOUBLE,0.0,27
359,DOUBLE,0.0,28
361,DOUBLE,0.0,18
363,DOUBLE,0.0,19
362,DOUBLE,0.0,48
364,DOUBLE,0.0,18
368,DOUBLE,0.0,19
367,DOUBLE,0.0,34
365,DOUBLE,0.0,17
369,DOUBLE,0.0,24
373,DOUBLE,0.0,22
371,DOUBLE,0.0,19
372,DOUBLE,0.0,106
375,DOUBLE,0.0,19
366,DOUBLE,0.0,23
