#N,type,distance,time
203,FLOAT,0.0,10
204,FLOAT,0.0,13
205,FLOAT,0.0,10
206,FLOAT,0.0,10
202,FLOAT,0.0,18
208,FLOAT,0.0,15
207,FLOAT,0.0,15
196,FLOAT,0.0,10
197,FLOAT,0.0,28
210,FLOAT,0.0,18
209,FLOAT,0.0,11
211,FLOAT,0.0,10
212,FLOAT,0.0,11
213,FLOAT,0.0,11
214,FLOAT,0.0,11
215,FLOAT,0.0,12
216,FLOAT,0.0,12
217,FLOAT,0.0,13
218,FLOAT,0.0,10
219,FLOAT,0.0,12
221,FLOAT,0.0,16
224,FLOAT,0.0,12
225,FLOAT,0.0,11
223,FLOAT,0.0,20
227,FLOAT,0.0,12
222,FLOAT,0.0,11
228,FLOAT,0.0,15
230,FLOAT,0.0,24
231,FLOAT,0.0,12
232,FLOAT,0.0,12
233,FLOAT,0.0,12
234,FLOAT,0.0,11
235,FLOAT,0.0,12
236,FLOAT,0.0,12
237,FLOAT,0.0,11
238,FLOAT,0.0,11
220,FLOAT,0.0,11
241,FLOAT,0.0,14
242,FLOAT,0.0,12
226,FLOAT,0.0,12
243,FLOAT,0.0,20
244,FLOAT,0.0,14
246,FLOAT,0.0,12
245,FLOAT,0.0,13
247,FLOAT,0.0,12
248,FLOAT,0.0,13
239,FLOAT,0.0,12
249,FLOAT,0.0,15
251,FLOAT,0.0,13
240,FLOAT,0.0,18
253,FLOAT,0.0,17
229,FLOAT,0.0,33
254,FLOAT,0.0,12
255,FLOAT,0.0,13
257,FLOAT,0.0,13
258,FLOAT,0.0,14
259,FLOAT,0.0,12
260,FLOAT,0.0,14
256,FLOAT,0.0,13
261,FLOAT,0.0,12
252,FLOAT,0.0,12
262,FLOAT,0.0,13
250,FLOAT,0.0,24
267,FLOAT,0.0,18
268,FLOAT,0.0,13
265,FLOAT,0.0,22
269,FLOAT,0.0,13
263,FLOAT,0.0,19
266,FLOAT,0.0,22
272,FLOAT,0.0,13
274,FLOAT,0.0,13
264,FLOAT,0.0,19
276,FLOAT,0.0,14
271,FLOAT,0.0,37
270,FLOAT,0.0,21
279,FLOAT,0.0,18
278,FLOAT,0.0,24
281,FLOAT,0.0,15
282,FLOAT,0.0,16
283,FLOAT,0.0,15
275,FLOAT,0.0,22
273,FLOAT,0.0,37
280,FLOAT,0.0,70
277,FLOAT,0.0,35
287,FLOAT,0.0,16
288,FLOAT,0.0,18
289,FLOAT,0.0,16
285,FLOAT,0.0,25
286,FLOAT,0.0,21
292,FLOAT,0.0,18
293,FLOAT,0.0,19
294,FLOAT,0.0,21
296,FLOAT,0.0,16
297,FLOAT,0.0,17
290,FLOAT,0.0,23
298,FLOAT,0.0,16
299,FLOAT,0.0,18
300,FLOAT,0.0,28
295,FLOAT,0.0,69
302,FLOAT,0.0,21
303,FLOAT,0.0,15
304,FLOAT,0.0,18
301,FLOAT,0.0,29
306,FLOAT,0.0,18
307,FLOAT,0.0,15
308,FLOAT,0.0,19
284,FLOAT,0.0,26
310,FLOAT,0.0,23
311,FLOAT,0.0,26
291,FLOAT,0.0,93
305,FLOAT,0.0,86
309,FLOAT,0.0,16
314,FLOAT,0.0,57
313,FLOAT,0.0,27
316,FLOAT,0.0,15
318,FLOAT,0.0,26
312,FLOAT,0.0,35
315,FLOAT,0.0,22
320,FLOAT,0.0,19
322,FLOAT,0.0,26
323,FLOAT,0.0,76
319,FLOAT,0.0,24
321,FLOAT,0.0,29
324,FLOAT,0.0,16
328,FLOAT,0.0,17
317,FLOAT,0.0,31
325,FLOAT,0.0,15
326,FLOAT,0.0,17
332,FLOAT,0.0,19
333,FLOAT,0.0,20
334,FLOAT,0.0,57
330,FLOAT,0.0,27
329,FLOAT,0.0,16
337,FLOAT,0.0,17
327,FLOAT,0.0,62
331,FLOAT,0.0,33
336,FLOAT,0.0,42
340,FLOAT,0.0,30
339,FLOAT,0.0,31
343,FLOAT,0.0,17
335,FLOAT,0.0,21
338,FLOAT,0.0,23
344,FLOAT,0.0,23
341,FLOAT,0.0,27
348,FLOAT,0.0,17
345,FLOAT,0.0,37
342,FLOAT,0.0,17
350,FLOAT,0.0,36
351,FLOAT,0.0,17
352,FLOAT,0.0,23
347,FLOAT,0.0,20
353,FLOAT,0.0,35
346,FLOAT,0.0,20
357,FLOAT,0.0,59
349,FLOAT,0.0,32
354,FLOAT,0.0,27
356,FLOAT,0.0,26
358,FLOAT,0.0,26
355,FLOAT,0.0,28
360,FLOAT,0.0,18
359,FLOAT,0.0,53
361,FLOAT,0.0,26
363,FLOAT,0.0,89
362,FLOAT,0.0,52
364,FLOAT,0.0,29
368,FLOAT,0.0,19
367,FLOAT,0.0,35
365,FLOAT,0.0,23
369,FLOAT,0.0,40
373,FLOAT,0.0,32
371,FLOAT,0.0,25
372,FLOAT,0.0,54
375,FLOAT,0.0,22
366,FLOAT,0.0,27
374,FLOAT,0.0,66
370,FLOAT,0.0,21
377,FLOAT,0.0,30
381,FLOAT,0.0,15
382,FLOAT,0.0,17
383,FLOAT,0.0,17
384,FLOAT,0.0,23
385,FLOAT,0.0,17
386,FLOAT,0.0,17
387,FLOAT,0.0,17
388,FLOAT,0.0,17
389,FLOAT,0.0,20
378,FLOAT,0.0,23
379,FLOAT,0.0,18
391,FLOAT,0.0,23
392,FLOAT,0.0,25
376,FLOAT,0.0,31
380,FLOAT,0.0,27
395,FLOAT,0.0,35
396,FLOAT,0.0,20
397,FLOAT,0.0,28
393,FLOAT,0.0,35
399,FLOAT,0.0,19
394,FLOAT,0.0,23
401,FLOAT,0.0,18
402,FLOAT,0.0,18
403,FLOAT,0.0,22
405,FLOAT,0.0,20
398,FLOAT,0.0,21
400,FLOAT,0.0,31
390,FLOAT,0.0,20
407,FLOAT,0.0,18
406,FLOAT,0.0,19
409,FLOAT,0.0,20
408,FLOAT,0.0,42
412,FLOAT,0.0,26
411,FLOAT,0.0,37
410,FLOAT,0.0,38
414,FLOAT,0.0,31
404,FLOAT,0.0,28
415,FLOAT,0.0,30
416,FLOAT,0.0,30
418,FLOAT,0.0,20
413,FLOAT,0.0,40
422,FLOAT,0.0,30
419,FLOAT,0.0,22
420,FLOAT,0.0,20
421,FLOAT,0.0,26
424,FLOAT,0.0,24
425,FLOAT,0.0,23
428,FLOAT,0.0,21
427,FLOAT,0.0,22
429,FLOAT,0.0,20
423,FLOAT,0.0,19
430,FLOAT,0.0,21
432,FLOAT,0.0,23
433,FLOAT,0.0,24
434,FLOAT,0.0,22
435,FLOAT,0.0,24
426,FLOAT,0.0,47
437,FLOAT,0.0,27
431,FLOAT,0.0,29
438,FLOAT,0.0,52
439,FLOAT,0.0,46
436,FLOAT,0.0,47
442,FLOAT,0.0,32
443,FLOAT,0.0,24
417,FLOAT,0.0,24
444,FLOAT,0.0,23
445,FLOAT,0.0,32
446,FLOAT,0.0,29
447,FLOAT,0.0,22
449,FLOAT,0.0,32
440,FLOAT,0.0,24
450,FLOAT,0.0,29
441,FLOAT,0.0,43
452,FLOAT,0.0,30
453,FLOAT,0.0,24
448,FLOAT,0.0,25
456,FLOAT,0.0,47
455,FLOAT,0.0,24
458,FLOAT,0.0,40
457,FLOAT,0.0,36
460,FLOAT,0.0,36
459,FLOAT,0.0,37
