605,1.0E-9,133
615,0.001,52
615,1.0E-5,79
615,1.0000000000000001E-7,102
615,1.0E-9,129
625,0.001,52
625,1.0E-5,78
625,1.0000000000000001E-7,95
625,1.0E-9,117
635,0.001,53
635,1.0E-5,76
635,1.0000000000000001E-7,104
635,1.0E-9,132
645,0.001,55
645,1.0E-5,76
645,1.0000000000000001E-7,106
645,1.0E-9,117
655,0.001,56
655,1.0E-5,74
655,1.0000000000000001E-7,95
655,1.0E-9,133
665,0.001,55
665,1.0E-5,75
665,1.0000000000000001E-7,98
665,1.0E-9,130
675,0.001,52
675,1.0E-5,72
675,1.0000000000000001E-7,107
675,1.0E-9,132
685,0.001,52
685,1.0E-5,78
685,1.0000000000000001E-7,90
685,1.0E-9,131
695,0.001,52
695,1.0E-5,81
695,1.0000000000000001E-7,93
695,1.0E-9,126
705,0.001,57
705,1.0E-5,76
705,1.0000000000000001E-7,106
705,1.0E-9,132
715,0.001,54
715,1.0E-5,79
715,1.0000000000000001E-7,100
715,1.0E-9,132
725,0.001,56
725,1.0E-5,78
725,1.0000000000000001E-7,101
725,1.0E-9,128
735,0.001,56
735,1.0E-5,82
735,1.0000000000000001E-7,98
735,1.0E-9,131
745,0.001,52
745,1.0E-5,80
745,1.0000000000000001E-7,103
745,1.0E-9,120
755,0.001,53
755,1.0E-5,78
755,1.0000000000000001E-7,105
755,1.0E-9,117
765,0.001,56
765,1.0E-5,82
765,1.0000000000000001E-7,105
765,1.0E-9,122
775,0.001,53
775,1.0E-5,73
775,1.0000000000000001E-7,102
775,1.0E-9,134
785,0.001,55
785,1.0E-5,76
785,1.0000000000000001E-7,106
785,1.0E-9,124
795,0.001,55
795,1.0E-5,75
795,1.0000000000000001E-7,106
795,1.0E-9,110
805,0.001,55
805,1.0E-5,75
805,1.0000000000000001E-7,104
805,1.0E-9,123
815,0.001,53
815,1.0E-5,81
815,1.0000000000000001E-7,95
815,1.0E-9,126
825,0.001,53
825,1.0E-5,81
825,1.0000000000000001E-7,107
825,1.0E-9,121
835,0.001,56
835,1.0E-5,75
835,1.0000000000000001E-7,100
835,1.0E-9,131
845,0.001,53
845,1.0E-5,75
845,1.0000000000000001E-7,103
845,1.0E-9,127
855,0.001,57
855,1.0E-5,80
855,1.0000000000000001E-7,102
855,1.0E-9,125
865,0.001,53
865,1.0E-5,79
865,1.0000000000000001E-7,100
865,1.0E-9,130
875,0.001,55
875,1.0E-5,75
875,1.0000000000000001E-7,102
875,1.0E-9,132
885,0.001,53
885,1.0E-5,76
885,1.0000000000000001E-7,99
885,1.0E-9,128
895,0.001,53
895,1.0E-5,82
895,1.0000000000000001E-7,108
895,1.0E-9,125
905,0.001,55
905,1.0E-5,78
905,1.0000000000000001E-7,94
905,1.0E-9,123
915,0.001,55
915,1.0E-5,75
915,1.0000000000000001E-7,97
915,1.0E-9,126
925,0.001,54
925,1.0E-5,72
925,1.0000000000000001E-7,102
925,1.0E-9,133
935,0.001,53
935,1.0E-5,81
935,1.0000000000000001E-7,96
935,1.0E-9,127
945,0.001,54
945,1.0E-5,80
945,1.0000000000000001E-7,103
945,1.0E-9,126
955,0.001,53
955,1.0E-5,77
955,1.0000000000000001E-7,104
955,1.0E-9,132
965,0.001,53
965,1.0E-5,76
965,1.0000000000000001E-7,102
965,1.0E-9,121
975,0.001,53
975,1.0E-5,72
975,1.0000000000000001E-7,104
975,1.0E-9,125
985,0.001,53
985,1.0E-5,72
985,1.0000000000000001E-7,100
985,1.0E-9,128
995,0.001,57
995,1.0E-5,79
995,1.0000000000000001E-7,100
995,1.0E-9,126
